,words,count
0,,2187
1,friends,220
2,funny,172
3,fucking,158
4,yy,153
5,stuff,146
6,ur,145
7,n,144
8,bro,143
9,said,141
10,j,138
11,love,134
12,r,122
13,friend,113
14,rly,110
15,god,106
16,slay,106
17,never,106
18,still,103
19,feel,102
20,w,99
21,need,98
22,wanna,96
23,wait,90
24,talk,87
25,cute,87
26,tara,85
27,actually,85
28,bad,83
29,fine,83
30,sleep,82
31,bruh,81
32,maybe,80
33,really,79
34,they're,75
35,someone,73
36,tell,73
37,i've,73
38,mean,73
39,lmao,72
40,best,72
41,happy,71
42,yuen,71
43,yin,71
44,sorry,71
45,fuck,71
46,person,71
47,sandeepti,71
48,things,70
49,last,70
50,he's,69
51,jacqueline,68
52,better,68
53,rn,68
54,omg,68
55,guys,67
56,went,65
57,wah,64
58,anyway,63
59,guy,63
60,find,63
61,done,63
62,nice,62
63,told,62
64,we're,62
65,thats,62
66,today,61
67,la,61
68,another,60
69,jesus,58
70,long,57
71,ask,56
72,parents,55
73,efje,55
74,girl,54
75,fun,54
76,uh,54
77,might,53
78,leung:,53
79,gg,53
80,send,53
81,lot,52
82,something,52
83,damn,52
84,wtf,52
85,help,52
86,read,51
87,anything,51
88,call,51
89,tmr,51
90,shit,51
91,thank,51
92,yall,50
93,hope,50
94,man,49
95,talking,49
96,nah,48
97,life,48
98,class,48
99,enough,48
100,i’m,48
101,made,47
102,it’s,47
103,enjoy,47
104,chan:,46
105,can't,46
106,ure,46
107,big,45
108,whatever,45
109,dinner,45
110,makes,45
111,meet,45
112,play,45
113,meeting,45
114,hard,44
115,nvm,44
116,what's,44
117,ah,44
118,next,44
119,bit,44
120,later,43
121,always,43
122,2,43
123,pls,43
124,nothing,43
125,tho,43
126,believe,43
127,true,42
128,jail,42
129,left,42
130,therapy,42
131,open,42
132,group,42
133,let,41
134,tara:,41
135,abt,41
136,room,41
137,💀,40
138,aiyah,40
139,tomorrow,40
140,working,40
141,manvi,40
142,youna,40
143,there's,39
144,sense,39
145,getting,39
146,remember,39
147,hate,39
148,eat,39
149,mom,39
150,@85259629100,39
151,place,38
152,list,38
153,probably,38
154,sad,38
155,three,38
